chromosome	start	stop	num.mark	seg.mean
14	38665913	38772451	71	-0.68
14	38772948	39912136	678	-0.1684
14	39912162	40072663	82	-0.6424
14	40073961	40373551	175	-0.1414
14	40373711	40437866	25	0.2531
14	40438527	40442030	6	-0.3215
14	40443599	40608928	93	0.2524
14	40613922	40616919	2	-23.903
14	40618165	41063806	312	0.2052
14	41066674	42551770	1006	-0.1529
14	42553801	43587636	636	0.2495
14	43590869	44682547	626	-0.1399
14	44685504	46666812	1056	0.1877
14	46667467	47454986	472	-0.1375
14	47455661	47455958	2	-16.827
14	47456098	49225469	1105	-0.1341
14	49231589	51263413	1118	0.3462
14	51264183	51273049	4	11.669
14	51275349	58348848	5013	0.2925
14	58355004	60013267	1093	-0.1865
14	60027043	60262740	132	0.2015
14	60273685	60630608	179	-0.1581
14	60631002	60650974	18	0.1863
14	60651402	61412624	373	-0.1846
14	61415441	61607699	83	0.1174
14	61609548	61828121	153	0.4504
14	61831860	61839378	6	-0.3055
14	61843749	63465464	1189	0.4641
14	63465590	72873549	5938	0.1683
14	72882983	73074505	169	0.4686
14	73074871	74020979	542	0.1374
14	74029900	74029915	2	15.054
14	74030731	76593690	1527	0.1642
14	76594292	76594599	2	0.7172
14	76596769	91413814	9932	0.1736
14	91414291	98303331	4898	0.4716
14	98307666	102581165	2935	0.1916
14	102583819	104925886	1046	0.5995
14	104926155	106530364	472	0.1839
14	106530687	106547314	7	-0.843
14	106547507	106569463	11	-22.338
14	106574118	106796025	102	0.6372
14	106796228	106802053	6	15.512
14	106815943	107153173	218	0.6757
14	107160325	107187776	28	10.743
14	107187813	107285437	62	0.631
15	20016328	21173886	267	0.1804
15	21186400	21188006	2	-1.951
15	21192108	21905757	24	0.2208
15	21909018	22582902	126	0.599
15	22584431	24493644	939	0.1815
15	24501411	24503266	2	-15.941
15	24503660	30501891	3752	0.172
15	30502086	30925605	99	-0.3371
15	30930500	32443464	1047	0.163
15	32444055	32857412	65	-0.3658
15	32857482	76878362	28022	0.1512
15	76891241	76895775	22	-18.739
15	76902179	102469040	17681	0.1713
16	60777	1529705	474	0.1956
16	1537839	1541538	3	14.612
16	1542687	7340762	4311	0.1313
16	7340953	7345713	5	-10.859
16	7346096	16090615	6812	0.1126
16	16095626	16098368	4	13.144
16	16098475	16644242	186	0.1336
16	16652699	16657460	3	-15.817
16	16663576	19697838	1607	0.1191
16	19705742	19725130	12	12.646
16	19727834	20253556	353	0.093
16	20254875	20298479	49	11.975
16	20306079	32124331	6262	0.0867
16	32146886	32815821	109	-0.3713
16	32838858	32875797	15	-10.983
16	32878329	32954725	16	-0.6416
16	32956070	33241953	11	0.0522
16	33300894	33710780	101	-12.584
16	33716956	33978858	44	0.0737
16	33998975	34447886	148	-0.2304
16	34448211	34760967	179	0.1953
16	34765093	35183793	129	-0.1866
16	35205717	51472512	2995	0.1657
16	51472571	51479949	7	-0.4772
16	51481399	51550158	52	0.1616
16	51556258	54021027	1897	-0.1698
16	54021667	55796510	1526	0.2052
16	55796575	55809224	11	18.647
16	55809466	55822444	9	0.6672
16	55829557	56739126	578	0.1557
16	56739762	60757112	2500	-0.1834
16	60757367	60825241	51	0.1698
16	60826027	75855475	8866	-0.1649
16	75867332	86103545	10455	0.2161
16	86103887	86104142	2	-14.322
16	86104164	90287535	2622	0.2418
17	526	880653	454	0.7174
17	880717	936936	24	-0.2739
17	940044	1002010	19	0.7469
17	1002846	1324451	132	0.3466
17	1327715	1407876	28	0.6987
17	1407897	1512923	53	0.2389
17	1515773	1524028	9	0.7816
17	1527366	1895906	154	0.1841
17	1898800	2085598	91	0.6537
17	2086060	2141362	44	0.1115
17	2146224	2264479	102	0.6187
17	2269769	2284866	9	0.0597
17	2292159	3132550	488	0.4543
17	3133284	3136291	4	0.8752
17	3143082	3366012	144	-0.1379
17	3366651	3414939	46	0.4478
17	3418458	3421820	5	-0.2833
17	3424183	3431686	8	0.4834
17	3433672	3612790	103	-0.1155
17	3620138	3872744	142	0.4189
17	3874574	4181515	211	-0.1896
17	4192905	4932171	334	0.1974
17	4935832	4965589	11	-0.2742
17	4968573	5233929	126	0.4029
17	5238495	5579859	211	-0.1832
17	5582131	5701900	88	0.4314
17	5705682	5731610	32	-0.2267
17	5733558	5740347	9	0.4825
17	5746224	5759820	14	-0.2748
17	5761009	5858315	87	0.3831
17	5859404	6100784	188	-0.1791
17	6100796	6100811	2	-17.539
17	6101043	6170442	91	-0.1858
17	6170815	6208281	35	0.1079
17	6208865	6279727	47	0.6356
17	6280672	6320519	40	0.1739
17	6320707	6540280	167	-0.6252
17	6547776	6871493	192	0.3148
17	6872983	6958661	43	-0.117
17	6961147	6982444	15	0.4824
17	6985651	6991240	7	-0.2476
17	6991442	7051469	26	0.3211
17	7065374	7108892	13	-0.2161
17	7109410	7203350	29	0.4779
17	7207780	7257185	15	-0.1369
17	7258027	7266476	4	0.2738
17	7269355	7380681	52	-0.2203
17	7381716	7431160	33	-0.6854
17	7434672	7617432	82	0.14
17	7621464	7637104	8	-0.6473
17	7639749	7869765	101	0.1745
17	7886735	7900674	12	-0.7108
17	7910081	8033282	60	0.1536
17	8035822	8040390	4	-0.7692
17	8047520	8297466	121	0.1218
17	8298993	8748042	317	-0.7019
17	8750730	8863411	76	0.1808
17	8865572	8875818	11	-0.851
17	8877946	8931041	25	0.0819
17	8931499	8958782	19	-0.7325
17	8961077	8980761	20	0.0808
17	8992797	9036547	33	-0.6449
17	9038878	9564164	359	0.1359
17	9564557	9827751	237	-0.1604
17	9829666	9854462	23	-17.537
17	9855324	9961156	77	-0.2323
17	9962312	10178179	189	-14.708
17	10183489	10291831	91	-0.21
17	10305820	10316886	12	-11.264
17	10324980	10449892	65	-0.2125
17	10450816	10503478	35	-12.442
17	10504591	11256097	577	-0.1701
17	11256114	11443776	174	-15.069
17	11453679	11550719	77	-0.2367
17	11552649	11577342	11	-13.109
17	11578874	12127676	365	-0.1934
17	12127829	12152804	12	-1.265
17	12155818	12216691	53	-0.1957
17	12218479	12235284	16	-11.912
17	12239004	12331301	67	-0.1162
17	12335051	12362500	17	-15.275
17	12364595	12642529	213	-0.1808
17	12647357	12668568	14	-15.103
17	12670922	12848741	118	-0.2347
17	12851378	13062795	171	-14.919
17	13063725	13465131	310	-0.1825
17	13466894	14764700	1093	0.1795
17	14765588	14809762	26	-0.8031
17	14815038	15094180	272	0.1813
17	15094869	16792377	766	-0.1643
17	16796611	16841206	33	-16.191
17	16843992	16860242	19	-0.1742
17	16864559	16893352	24	-13.927
17	16894140	16944339	21	-0.2307
17	16949655	16952322	7	-14.238
17	16957048	17090864	76	-0.2046
17	17091905	17094730	3	-1.033
17	17095487	17253288	96	-0.1713
17	17254155	17262613	7	-1.605
17	17262787	17300368	27	-0.2601
17	17303312	17317871	14	-13.028
17	17322052	17519839	146	-0.2158
17	17524181	17841295	143	-0.8946
17	17842502	17957348	62	0.4586
17	17960011	18158756	116	-0.7311
17	18174435	18361686	109	0.1426
17	18364842	18550859	43	-0.7599
17	18562720	18702094	42	-0.1341
17	18706104	18747092	9	-0.8421
17	18752582	19281006	188	0.252
17	19284164	20395887	574	0.6179
17	20410231	20431269	5	-0.7267
17	20433585	21529902	474	0.7077
17	21532869	22074662	173	0.198
17	22075374	22195676	47	-0.67
17	22198297	22219568	16	0.1442
17	22227075	26362289	610	-0.5762
17	26366851	26584486	100	-0.0236
17	26586872	27014651	167	0.3085
17	27021371	27449562	190	-0.3621
17	27452986	27483292	18	-0.0515
17	27483556	27575716	40	-0.662
17	27577786	27624525	24	0.1463
17	27632595	27813032	85	-0.3921
17	27814496	27857698	16	-12.073
17	27859516	28259810	165	-0.6623
17	28263968	28363513	36	-11.815
17	28364967	28415845	20	-0.5504
17	28418765	28560547	74	-14.049
17	28572043	28624845	35	-0.1419
17	28634254	28647752	9	-13.583
17	28662842	28704463	25	0.2052
17	28715464	29163532	178	-0.0438
17	29163981	29562953	163	-1.282
17	29564129	29578360	7	-43.829
17	29578384	30906715	667	-13.806
17	30911402	30945083	23	0.2763
17	30947483	31034874	49	-11.351
17	31038094	31504023	356	-0.6721
17	31505236	31581380	73	-13.963
17	31583358	32656602	1004	-39.838
17	32660149	32701569	49	-14.856
17	32704480	32720085	26	-43.524
17	32721629	32830470	128	-0.2054
17	32833939	32884695	58	0.0969
17	32884827	33082477	158	0.4028
17	33084070	33116082	27	-0.6423
17	33118405	33456541	191	0.5629
17	33460367	33893509	253	-0.6379
17	33896650	33984129	45	0.0485
17	33987034	34022528	11	-11.701
17	34024541	34036819	9	-0.601
17	34037278	34045881	18	-11.441
17	34045898	34132180	43	-0.7091
17	34134454	34232407	51	-12.166
17	34234953	34436267	152	0.3049
17	34436532	34485091	39	11.488
17	34528125	35298624	404	0.2986
17	35301739	35779639	289	-0.0822
17	35785479	36056899	163	0.6087
17	36058814	37982883	901	-0.5122
17	37984935	38123133	74	0.4215
17	38123438	38148341	11	-0.1016
17	38155930	38337824	72	0.4694
17	38341603	38631313	115	-0.4199
17	38633329	38653354	19	0.2694
17	38659899	38895500	156	-0.4745
17	38900462	39059549	101	0.261
17	39065249	39323329	187	0.6782
17	39324607	39421708	50	0.9984
17	39423014	39423103	6	1.453
17	39423153	39430531	18	25.477
17	39432724	39593620	159	10.062
17	39594679	39697064	104	13.279
17	39699814	39809446	50	10.519
17	39816732	40542210	353	0.5698
17	40542501	40603049	29	0.127
17	40608297	40636498	13	-0.5475
17	40642769	40810773	67	0.9853
17	40814356	40994493	61	0.1588
17	40996085	41112801	61	-0.5602
17	41113146	41899516	508	-0.0749
17	41903122	43186557	593	0.3814
17	43193680	43200918	13	0.7485
17	43205400	43358111	62	0.3923
17	43360128	43586409	92	0.985
17	43645893	43659426	10	-0.5797
17	43664693	43728137	17	0.5086
17	43733983	43751420	17	0.9859
17	43751430	44188311	320	0.3289
17	44188392	44267863	72	-0.0431
17	44269293	44272000	3	0.985
17	44276383	44311975	21	1,00E-04
17	44325554	44364170	13	-0.9299
17	44394412	44505241	13	0.3221
17	44523711	44523726	2	32.744
17	44546329	44557907	7	10.267
17	44571637	49006788	2249	0.2155
17	49012017	49099664	39	-0.6059
17	49106105	51717906	1811	0.1898
17	51726992	51727181	2	-25.876
17	51728544	52431098	426	0.3918
17	52447363	52823273	224	0.8184
17	52824101	52991794	168	0.4366
17	52992268	53262011	147	0.1334
17	53263207	57211602	2799	0.4226
17	57217894	57249524	14	12.658
17	57255046	57459556	91	0.459
17	57465904	57491348	24	0.9619
17	57491646	57859959	170	0.4998
17	57861678	57870935	7	1.126
17	57872848	58080483	87	0.5964
17	58102750	58138449	17	14.168
17	58142190	58185636	31	0.7795
17	58187915	58254241	29	12.179
17	58258404	59867439	840	0.7075
17	59869311	59912374	22	11.662
17	59913028	60708951	342	0.6039
17	60713007	61245747	264	0.8955
17	61252252	61372811	47	-0.6712
17	61376443	63476554	1108	0.1809
17	63481416	63701502	141	10.793
17	63702786	63716248	10	0.3989
17	63718849	63927250	115	0.1685
17	63927745	63936932	2	-0.7153
17	63937207	64519431	380	0.1987
17	64521652	64668297	134	0.7332
17	64668679	64734203	55	0.181
17	64736582	64736886	2	0.5485
17	64737458	64821307	64	10.587
17	64822621	64990495	150	0.7357
17	64994259	65067945	67	0.2169
17	65068821	65237189	97	0.68
17	65237391	65368899	60	0.1128
17	65371203	65455869	55	0.9946
17	65461312	65996938	297	0.1857
17	66015963	66289240	105	0.509
17	66293984	66696251	287	-0.205
17	66696711	66722324	10	0.6459
17	66722666	66739481	16	11.306
17	66742160	66922400	158	0.6716
17	66925249	66954079	22	10.286
17	66956958	66979219	19	0.6382
17	66979852	67017969	16	-0.6458
17	67019666	67021870	2	0.1088
17	67025564	67063960	22	0.7347
17	67070533	67553225	293	0.1588
17	67556142	67596041	23	-0.8754
17	67598698	68112533	353	-31.009
17	68113131	68322379	175	0.1869
17	68322769	68743652	325	0.4656
17	68755732	69256875	442	0.9341
17	69257135	69998041	583	-0.6066
17	69999390	70037444	34	0.194
17	70040327	70142118	73	-0.5919
17	70142596	70189365	43	0.2317
17	70191622	71287160	872	-0.6301
17	71291267	71629103	217	0.2506
17	71632927	71746986	124	0.822
17	71747124	71747610	4	0.1307
17	71748025	71802533	42	0.8259
17	71807854	75304522	1871	0.2453
17	75306821	75359390	38	0.5615
17	75360608	75370468	11	1.098
17	75371721	75581680	127	0.3734
17	75587894	75659019	56	0.7056
17	75661063	76276483	343	0.2648
17	76281368	76282968	3	-0.8317
17	76286743	76411313	64	0.2645
17	76414457	76456135	25	0.6125
17	76459989	76866987	274	0.284
17	76868791	76872380	5	12.279
17	76876395	77242007	209	0.2744
17	77242279	77242491	2	-12.528
17	77242761	78665199	810	0.2706
17	78665643	79054676	203	0.5981
17	79058278	79185007	35	10.162
17	79185152	79223899	15	0.3768
17	79239759	79255998	18	-0.5218
17	79256220	79256257	2	-28.642
17	79261809	81049726	671	-0.5974
18	11543	171470	37	0.7017
18	175079	234072	33	0.3425
18	235928	298100	50	0.8435
18	298508	887237	509	0.4455
18	891297	1126674	174	-0.3081
18	1127250	1878765	494	0.0701
18	1884686	2709162	624	0.3836
18	2721645	3567309	564	-0.3414
18	3569834	3613827	31	0.2392
18	3615632	4177836	472	-0.3268
18	4179017	4204376	29	0.1492
18	4204614	4366070	118	-0.2853
18	4369222	4659215	222	0.5198
18	4661209	4688684	13	0.0894
18	4696036	6257929	1071	0.5165
18	6258744	7102706	683	-0.2939
18	7104967	7184419	54	0.4271
18	7186222	7277742	59	0.1439
18	7281305	7318157	24	-0.2624
18	7319181	7496664	142	0.0959
18	7501089	7530379	24	-0.3377
18	7530959	7945007	293	0.096
18	7947184	8070504	91	-0.2937
18	8077298	8087323	11	0.7539
18	8091265	8590359	448	0.0847
